IndiceIPC,V1_IPSA,V2_IMACEC,V3_DOLAROBS
76.06,-1.439671091,-1.492629471,-1.1433768
76.46,-1.0890028,-2.17863824,-1.1493743
76.67,-1.060522752,-2.444380517,-0.9064702
76.74,-1.159648112,-1.860731737,-0.9780166
77.09,-1.001944472,-1.651090607,-0.9973481
77.37,-0.968948919,-1.707191755,-0.9015237
77.37,-0.69396543,-1.813488666,-0.8751607
77.87,-0.233383882,-2.018208642,-0.9128338
77.79,0.014521986,-1.704239063,-1.0834088
78.10,0.431196795,-1.925690961,-1.2006253
78.18,0.611739953,-1.432591401,-1.2759575
78.23,0.680212275,-1.168817585,-1.2890936
78.33,0.634856875,-0.931617996,-1.3465064
78.54,0.242701415,-1.634358686,-1.2348361
78.72,-0.109446359,-2.001476721,-1.3395538
79.32,0.167802589,-0.966066069,-1.3093860
79.57,0.472992189,-1.200312966,-1.3728427
79.89,0.512090609,-1.14618028,-1.4001941
80.03,0.431042682,-1.402080251,-1.3873745
80.13,-0.138095931,-1.711128677,-1.4366854
80.26,-0.350201393,-1.363695255,-1.4073391
80.66,-0.966298179,-1.569399463,-1.2786055
81.05,-0.290251509,-1.02708837,-1.0649776
81.31,-0.546017131,-0.803668011,-1.0901601
81.80,-0.520989211,-0.351906139,-1.0236410
81.87,-0.392721118,-1.193423351,-1.1442180
82.19,0.030842533,-1.479834473,-1.2954003
82.33,0.239942796,-0.524146504,-1.2656460
82.37,0.108160931,-0.688513024,-1.2610343
82.39,-0.304260364,-0.647175336,-1.1765965
82.15,-0.177980326,-0.842053007,-1.1115570
82.14,-0.443886571,-1.14716451,-1.2158456
82.32,-0.55466286,-0.783983398,-1.2991662
82.95,-0.439478945,-1.169801816,-1.3450314
83.42,-0.384106212,-0.469029587,-1.3420539
83.04,-0.57884316,-0.296789222,-1.3023922
83.02,-0.330120494,0.007338051,-1.3286066
83.17,0.056733485,-0.792841474,-1.3625717
83.26,0.066072722,-1.219013348,-1.3650403
83.58,-0.128602582,-0.160965391,-1.3639779
83.18,-0.344360517,-0.315489605,-1.3666185
83.17,-0.499829522,-0.385369981,-1.3099140
83.70,-0.748860414,-0.591074189,-1.1324405
83.92,-1.20677581,-0.894217231,-1.1166278
84.12,-1.36676032,-0.559578808,-1.0585470
84.58,-1.066055402,-0.919807228,-1.1196153
84.70,-0.929526862,-0.223956153,-1.1482787
85.01,-1.119671249,-0.011362331,-1.0078145
85.52,-1.258172433,0.232726872,-0.9301289
85.67,-1.658526694,-0.645206875,-0.8724080
86.09,-1.22782762,-0.9670503,-0.7400522
86.81,-1.144791637,0.068360352,-0.6681979
87.35,-0.933842021,-0.17376039,-0.7382819
87.65,-0.942826798,-0.206240002,-0.7324859
87.69,-0.986101675,-0.460171511,-0.7502968
87.90,-0.986548603,-0.833194931,-0.7111144
88.18,-0.799763875,-0.496588046,-0.5523708
88.92,-0.881566955,-0.709181868,-0.4425805
89.84,-1.024260007,-0.060573864,-0.4691446
89.87,-0.807253758,0.062454968,-0.4502611
89.50,-1.024275419,0.475831844,-0.2944444
89.56,-1.046205672,-0.409975748,-0.2335897
89.88,-0.81967525,-0.752488017,-0.2129661
90.44,-0.922622608,0.27504879,-0.1757574
90.97,-0.727623668,0.048675739,-0.2806702
91.13,-0.72427942,-0.090100784,-0.3349772
91.57,-0.953167768,-0.243640767,-0.1643978
91.95,-0.994392945,-0.621585339,-0.0109779
92.58,-1.040842546,-0.376511905,0.2782433
93.05,-1.279763637,-0.454266127,0.3057620
93.43,-1.059675132,0.049659969,0.2569080
93.40,-1.325812546,0.277017251,0.3992340
93.41,-1.287423044,0.671693745,0.4010284
93.85,-1.24780064,-0.245609228,0.5359053
94.11,-1.23251265,-0.38340152,0.3998614
94.47,-0.890921603,0.541775298,0.2321827
94.78,-0.791395549,0.108713809,0.1397616
94.99,-0.895205939,0.103792656,0.2306803
95.42,-0.800888899,-0.147186162,0.2245987
95.65,-0.613549365,-0.533988811,0.0455897
95.70,-0.610759923,-0.085179631,0.0556678
95.93,-0.771083481,-0.304663067,0.1298610
96.09,-0.34799758,0.018164588,0.0939882
96.14,-0.475202294,0.402998775,0.1107089
95.94,-0.5612743,0.831139112,0.1187092
96.46,-0.487130626,-0.209192694,0.0732135
96.69,-0.239964499,-0.545799579,-0.0637562
97.06,0.412764902,0.564412603,0.0732769
97.30,0.430811512,0.072297274,0.0316998
97.42,0.524234699,0.22977418,0.1520015
97.04,0.357006887,-0.047778866,0.1033650
97.27,0.846145539,-0.364701138,0.0501918
97.47,0.9825662,0.114619193,-0.0558942
97.32,1.273500365,-0.171791929,-0.1983126
97.89,1.65284905,0.338039552,-0.1678117
97.98,0.751782265,0.751416428,-0.1356642
98.12,1.616663362,1.09786562,-0.1116281
98.57,2.064792595,0.197294568,-0.3507284
98.62,1.67558069,-0.186555389,-0.4169074
98.82,1.582172915,1.050622548,-0.3665953
99.13,1.842130405,0.720905278,-0.3886631
99.41,1.447894423,0.701220665,-0.1939147
99.51,1.210807273,0.384298393,-0.1175493
99.86,1.416070127,-0.075337324,0.0062907
100.04,1.163325116,0.348866089,0.0355654
100.38,1.183498483,-0.027110022,0.2234015
100.74,0.907328325,0.750432198,0.1923760
100.74,0.918963843,1.08310216,0.1982485
100.64,0.909023566,1.410850969,0.2315667
100.75,1.371639403,0.385282624,0.1940584
100.79,1.189678407,-0.138328086,0.0359735
101.27,1.146326473,1.162824843,0.1225969
101.54,1.034887499,0.87346103,0.1204681
102.15,0.711235184,0.845902571,0.3078545
102.20,0.855531009,0.444336463,0.3109404
102.43,0.703945648,0.188436492,0.2625838
102.62,0.445051536,0.692362589,0.4731151
102.63,0.837530633,0.261269561,0.5092058
103.47,0.352213979,0.317370708,0.5289313
103.55,0.035774143,0.564412603,0.9515943
103.66,0.237738982,1.512226727,0.9048367
104.24,0.087032064,0.497484919,0.9220274
104.71,-0.605597144,0.122493038,1.1027653
105.06,-1.584429254,0.720905278,1.4302165
105.01,-0.8291686,-0.632411876,1.5368659
104.96,-1.337679232,-0.770204168,1.2964044
104.89,-0.857741115,-0.934570688,1.0824964
104.99,-0.768263216,-0.941460303,1.0140374
105.13,-1.153437366,-0.418833824,1.0135257
105.80,-1.353552852,-0.252498843,0.9277747
106.52,-1.503627907,0.179578416,1.0409827
106.38,-0.743928804,0.659882977,0.8476740
106.74,-0.52146696,1.57718595,0.6332741
107.49,-0.349739055,0.17072034,0.5481516
107.69,0.089050942,-0.06844771,0.5410727
108.09,0.589486063,1.394119048,0.5695529
108.50,-0.065878667,0.686457205,0.4285006
108.79,-0.245281391,0.884287567,0.4621191
108.88,-0.283963707,0.777006425,0.5709116
109.76,-0.406159755,0.508311456,0.7529001
110.15,-0.037013338,1.17266715,0.9767128
111.45,-0.235788042,0.983694863,1.0056379
